match_id,stage,group,date,venue,country,home_team,away_team,neutral,home_score,away_score,status
G01,group,A,2026-06-11,Mexico City,Mexico,Mexico,South Africa,False,2,0,played
G02,group,A,2026-06-11,Zapopan,Mexico,South Korea,Czech Republic,True,2,1,played
G03,group,B,2026-06-12,Toronto,Canada,Canada,Bosnia and Herzegovina,False,1,1,played
G04,group,D,2026-06-12,Inglewood,United States,United States,Paraguay,False,4,1,played
G05,group,B,2026-06-13,Santa Clara,United States,Qatar,Switzerland,True,1,1,played
G06,group,C,2026-06-13,East Rutherford,United States,Brazil,Morocco,True,1,1,played
G07,group,C,2026-06-13,Foxborough,United States,Haiti,Scotland,True,0,1,played
G08,group,D,2026-06-13,Vancouver,Canada,Australia,Turkey,True,2,0,played
G09,group,F,2026-06-14,Guadalupe,Mexico,Sweden,Tunisia,True,5,1,played
G10,group,F,2026-06-14,Arlington,United States,Netherlands,Japan,True,2,2,played
G11,group,E,2026-06-14,Houston,United States,Germany,Curaçao,True,7,1,played
G12,group,E,2026-06-14,Philadelphia,United States,Ivory Coast,Ecuador,True,1,0,played
G13,group,G,2026-06-15,Seattle,United States,Belgium,Egypt,True,1,1,played
G14,group,G,2026-06-15,Inglewood,United States,Iran,New Zealand,True,2,2,played
G15,group,H,2026-06-15,Atlanta,United States,Spain,Cape Verde,True,0,0,played
G16,group,H,2026-06-15,Miami Gardens,United States,Saudi Arabia,Uruguay,True,1,1,played
G17,group,I,2026-06-16,East Rutherford,United States,France,Senegal,True,3,1,played
G18,group,I,2026-06-16,Foxborough,United States,Iraq,Norway,True,1,4,played
G19,group,J,2026-06-16,Kansas City,United States,Argentina,Algeria,True,3,0,played
G20,group,J,2026-06-16,Santa Clara,United States,Austria,Jordan,True,3,1,played
G21,group,L,2026-06-17,Toronto,Canada,Ghana,Panama,True,1,0,played
G22,group,L,2026-06-17,Arlington,United States,England,Croatia,True,4,2,played
G23,group,K,2026-06-17,Houston,United States,Portugal,DR Congo,True,1,1,played
G24,group,K,2026-06-17,Mexico City,Mexico,Uzbekistan,Colombia,True,1,3,played
G25,group,A,2026-06-18,Atlanta,United States,Czech Republic,South Africa,True,1,1,played
G26,group,A,2026-06-18,Zapopan,Mexico,Mexico,South Korea,False,1,0,played
G27,group,B,2026-06-18,Inglewood,United States,Switzerland,Bosnia and Herzegovina,True,4,1,played
G28,group,B,2026-06-18,Vancouver,Canada,Canada,Qatar,False,6,0,played
G29,group,D,2026-06-19,Santa Clara,United States,Turkey,Paraguay,True,0,1,played
G30,group,C,2026-06-19,Foxborough,United States,Scotland,Morocco,True,0,1,played
